epoch,loss,p_10
0,6561.450738028019,0.05779427359491016
10,6404.807867130848,0.13658536585365763
20,5847.76993350198,0.16161187698833396
30,4795.444189564422,0.17083775185577815
40,3757.6791207024903,0.1965005302226924
50,3223.3977682395976,0.21484623541887493
60,3002.327297214662,0.22672322375397524
70,2883.972620321911,0.20901378579003058
80,2806.883354338014,0.19565217391304224
90,2749.186560924839,0.18854718981972313
100,2702.6874973163985,0.1812301166489915
110,2663.2788457635875,0.17051961823965964
120,2629.022395185019,0.16044538706256534
130,2598.939747842036,0.1506892895015897
140,2572.4678860395315,0.1427359490986206
150,2549.17776405259,0.13764581124072037
160,2528.709371642211,0.13435843054082652
170,2510.713538204057,0.1319194061505826
180,2494.862207485798,0.12863202545068866
190,2480.8503783770198,0.1249204665959697
200,2468.4043111750493,0.12354188759278835
210,2457.2801849795164,0.12099681866383825
220,2447.285863568399,0.11898197242841939
230,2438.2662719459913,0.116330858960763
240,2430.101424506742,0.1158006362672317
250,2422.688561792602,0.11357370095440036
260,2415.9375447177736,0.11431601272534421
270,2409.764231068098,0.11442205726405041
280,2404.091766527908,0.11410392364793172
290,2398.855234776741,0.11442205726405044
